event_id,event_date,event_type,severity_level,cause,description,affected_product_id,affected_product_name,affected_supplier_id,affected_supplier_name,location_country,location_state,location_city,delay_duration_hours,shortage_quantity,financial_impact_usd,resolved,resolution_date,resolution_notes
EVT-00001,2023-12-18,delay,minor,weather,Severe snowstorm in Minnesota delayed shipment by several hours.,P-10001,Stainless Steel Screws,S-2001,North Star Metals,US,Minnesota,Minneapolis,7.5,,1200,true,2023-12-19,Shipment rerouted and delivered the next day.
EVT-00002,2024-01-10,shortage,critical,supplier_issue,Acute shortage of ball bearings due to supplier insolvency.,P-10002,Ball Bearings,S-2002,Zhengzhou Bearings Ltd.,CN,Henan,Zhengzhou,,120000,2500000,false,,
EVT-00003,2022-11-04,quality_issue,moderate,equipment_failure,Packaging machine malfunction led to defective packaging for entire batch.,P-10003,Organic Tea Bags,S-2003,FreshLeaf Packaging,GB,England,London,,300,1840.5,true,2022-11-09,Machine repaired and new batch produced within five days.
EVT-00004,2023-08-28,delay,moderate,demand_spike,Unexpected demand caused backlog in outbound shipments.,P-10004,HDMI Cables,S-2004,CableWorks,US,Texas,Houston,12,,3400,true,2023-08-28,Temporary staff added to clear backlog in one day.
EVT-00005,2022-03-14,transportation_failure,critical,equipment_failure,Major truck breakdown on interstate delayed high-value shipment.,P-10005,Electric Motors,S-2005,Prime Motors Inc.,US,Illinois,Chicago,21,,43000,false,,
EVT-00006,2024-03-02,natural_disaster,critical,weather,Severe flooding in Mumbai halted all warehousing operations.,P-10006,Plastic Containers,S-2006,Mumbai Plastics,IN,Maharashtra,Mumbai,,35000,1250000,false,,
EVT-00007,2021-09-15,delay,minor,weather,Fog at Frankfurt airport delayed international outbound flight.,P-10007,Medical Test Kits,S-2007,MediTest Group,DE,Hessen,Frankfurt,4,,600,true,2021-09-16,Cargo rerouted on next available flight.
EVT-00008,2023-07-19,shortage,severe,labor_strike,Nationwide trucker strike in Brazil caused supply shortages.,P-10008,Coffee Beans,,,BR,São Paulo,Campinas,,54000,410000,false,,
EVT-00009,2023-06-03,delay,minor,demand_spike,Unexpected surge in orders delayed outbound shipments by several hours.,P-10009,Bluetooth Speakers,S-2008,SoundTech,UK,Scotland,Glasgow,8.5,,900,true,2023-06-04,Additional carriers contracted to clear backlog.
EVT-00010,2024-03-22,quality_issue,minor,unknown,Returned products due to inconsistent labeling identified during QA.,P-10010,Vitamin D Tablets,S-2009,SunHealth Labs,US,California,Los Angeles,,80,450,true,2024-03-23,Production line recalibrated and QA monitoring increased.
EVT-00011,2020-04-21,delay,minor,weather,Thunderstorms in Dallas caused airport closures and shipment delays.,P-10011,LED Lighting Units,S-2010,BrightLight Supplies,US,Texas,Dallas,5,,650,true,2020-04-22,Shipments rescheduled to next available flights.
